,,Portfolio,,,,,,,,,,,,,,,,,,,Portfolio,,,,,,,,,,,,,,,,,,,
EMEA WEST,Luxembourg,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,currently not available,Yes,Yes,Partial,No
China & HK,Macau Special Administrative Region of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMEA EAST,Madagascar,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Partial,TPI - NoTO,,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Malawi,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,Partial,No
APAC,Malaysia,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,FME alternative (Smartbag),Yes,Yes,Partial,"Evaluate TDMS, TG, Coral",,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
APAC,Maldives,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Mali,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,Partial,No
EMEA EAST,Malta,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,currently not available,Yes,No,Partial,No
EMEA EAST,Mauritania,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Mauritius,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,Partial,No
LATAM,Mexico,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Partial,Yes,,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
EMEA EAST,Mongolia,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Montenegro,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,No
EMEA EAST,Morocco,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,currently not available,Yes,Yes,Partial,Aqua A assessment / IDMS assessment
EMEA EAST,Mozambique,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
APAC,Myanmar,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Namibia,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,Partial,No
APAC,Nepal,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA WEST,Netherlands,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,No
APAC,New Zealand,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,FME alternative (Smartbag),Yes,Yes,Partial,Evaluate TDMS Introduction,,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,Evaluate the introduction of CDS
